date,price,open,high,low,change
06/01/2024,72.59,68.52,68.52,68.52,0.0155
05/01/2024,71.48,74.86,74.86,74.86,-0.1012
04/01/2024,79.53,78.89,78.89,78.89,0.0271
03/01/2024,77.43,74.84,74.84,74.84,0.0381
02/01/2024,74.59,71.43,71.43,71.43,0.033
01/01/2024,72.21,58.23,58.23,58.23,0.2095
12/01/2023,59.7,63.09,63.09,63.09,-0.0759
11/01/2023,64.6,74.28,74.28,74.28,-0.1478
10/01/2023,75.8,77.18,77.18,77.18,-0.0758
09/01/2023,82.02,73.26,73.26,73.26,0.1533
08/01/2023,71.12,70.23,70.23,70.23,0.0127
07/01/2023,70.23,58.61,58.61,58.61,0.222
06/01/2023,57.47,56.73,56.73,56.73,0.0722
05/01/2023,53.6,62.2,62.2,62.2,-0.1383
04/01/2023,62.2,64.65,64.65,64.65,0.0632
03/01/2023,58.5,59.89,59.89,59.89,-0.0294
02/01/2023,60.27,56.18,56.18,56.18,0.0753
01/01/2023,56.05,58.98,58.98,58.98,-0.0041
12/01/2022,56.28,69.45,69.45,69.45,-0.1542
11/01/2022,66.54,76.73,76.73,76.73,-0.1133
10/01/2022,75.04,71.61,71.61,71.61,0.0659
09/01/2022,70.4,74.02,74.02,74.02,-0.0991
08/01/2022,78.14,77.4,77.4,77.4,-0.0564
07/01/2022,82.81,89.53,89.53,89.53,-0.0899
06/01/2022,90.99,94.53,94.53,94.53,-0.0718
05/01/2022,98.03,78.08,78.08,78.08,0.2345
04/01/2022,79.41,81.83,81.83,81.83,-0.0422
03/01/2022,82.91,98.29,98.29,98.29,-0.1206
02/01/2022,94.28,90.47,90.47,90.47,0.0243
01/01/2022,92.04,76.61,76.61,76.61,0.1984
12/01/2021,76.8,70.55,70.55,70.55,0.1076
11/01/2021,69.34,83.1,83.1,83.1,-0.1554
10/01/2021,82.1,76.67,76.67,76.67,0.0823
09/01/2021,75.86,68.68,68.68,68.68,0.0703
08/01/2021,70.88,71.43,71.43,71.43,-0.0418
07/01/2021,73.97,74.66,74.66,74.66,-0.0125
06/01/2021,74.91,68.81,68.81,68.81,0.1058
05/01/2021,67.74,68.44,68.44,68.44,0.0312
04/01/2021,65.69,60.35,60.35,60.35,0.0659
03/01/2021,61.63,64.55,64.55,64.55,-0.0507
02/01/2021,64.92,56.45,56.45,56.45,0.1632
01/01/2021,55.81,50.97,50.97,50.97,0.095
12/01/2020,50.97,49.68,49.68,49.68,0.0863
