year,month,appraiser,estimator,lawyer,auditor,actuary,all,official
2017,1,28510,43899,32084,34436,60000,33609,34422
2017,2,29313,42660,31609,39482,123000,35021,35497
2017,3,28905,42439,31497,31248,131323,33682,37899
2017,4,31276,40788,31332,33954,135918,32589,39225
2017,5,30648,41852,33726,38347,137491,30967,39679
2017,6,32103,42041,43552,33165,143641,31165,41454
2017,7,31357,41293,43720,31262,131926,30777,38073
2017,8,29287,40862,41361,32359,128551,31293,37099
2017,9,30053,42044,36675,26171,131836,31901,38047
2017,10,31400,42258,43816,31213,132827,31809,38333
2017,11,31414,45180,47362,35440,134611,32441,38848
2017,12,34692,44498,51943,33322,177402,31979,51197
2018,1,33147,43983,36187,34444,135197,32837,39017
2018,2,34081,44014,38075,37933,140138,33658,40443
2018,3,32660,42915,37517,36030,146795,33427,42364
2018,4,33081,43668,45736,35293,150319,35045,43381
2018,5,31993,44563,44004,36347,152727,34609,44076
2018,6,32478,45787,36480,30633,158867,34354,45848
2018,7,30733,47214,37653,30943,146965,33691,42413
2018,8,28164,45956,36699,28296,143330,33867,41364
2018,9,28328,45474,44634,31193,144750,35494,41774
2018,10,30012,44314,39587,37055,146684,35530,42332
2018,11,30321,46465,36514,34758,147595,35243,42595
2018,12,31394,43051,41399,34605,192551,35622,55569
2019,1,30336,45729,67041,41491,146445,36121,42263
2019,2,28234,42492,54937,31939,149213,34421,43062
2019,3,29371,44793,54195,31316,160516,34998,46324
2019,4,27998,45690,47546,23323,166428,36066,48030
2019,5,31602,47383,59349,34084,166067,35930,47926
2019,6,32115,46035,57608,40506,170995,36464,49348
2019,7,31764,46782,49038,32665,161157,36577,46509
2019,8,32866,47396,49493,38858,155794,37587,44961
2019,9,32053,47756,57981,32448,157803,37591,45541
2019,10,33436,48582,53437,37030,161296,38768,46549
2019,11,33486,49291,54398,40048,160381,39800,46285
2019,12,33417,50252,56574,44590,215663,40559,62239
2020,1,34040,49844,50867,42098,161729,38823,46674
2020,2,34901,49741,50100,43113,163749,39057,47257
2020,3,32645,48893,49323,43870,176539,36456,50948
2020,4,31808,48127,50845,35045,170849,37726,49306
2020,5,30840,47640,60783,32713,175842,39661,50747
2020,6,31640,51108,60107,34868,180610,39812,52123
2020,7,33606,51657,57197,30991,173757,38648,50145
2020,8,33084,49227,54693,34397,165108,37144,47649
2020,9,32679,50587,51101,34864,170686,37923,49259
2020,10,33581,51556,54221,35722,171657,38433,49539
2020,11,33881,52655,57726,37467,170738,39561,49274
2020,12,34023,52849,62389,37565,240054,40494,69278
2021,1,32395,51872,60676,38176,171577,37031,49516
2021,2,34505,60362,57359,40531,177513,40718,51229
2021,3,35565,59693,54196,40439,191300,42098,55208
2021,4,35565,59693,54196,40439,196172,42098,56614
2021,5,36403,60909,52594,35181,194637,40873,56171
2021,6,36414,61385,53289,34958,203684,40837,58782
2021,7,38299,60649,54278,37513,250000,43096,55170
2021,8,38299,60649,54278,37513,250000,43096,52355
2021,9,39421,59942,57504,38851,261136,45283,54687
2021,10,39680,59772,58080,38753,260954,45526,54649
2021,11,40688,61634,60189,38577,265681,47976,55639
2021,12,40388,61437,58588,40040,372429,53125,77994
2022,1,39409,60695,53465,42710,266054,52697,55717
2022,2,40114,60989,51285,46687,273823,53557,57344
2022,3,41293,61055,56491,42952,318771,56013,66757
2022,4,40619,60997,62169,42065,297340,56124,62269
2022,5,40148,64140,58393,42916,298238,56123,62457
2022,6,39941,65037,63401,44040,317887,56538,66572
2022,7,40651,65534,58596,47117,297011,57741,62200
2022,8,43712,64575,66958,44064,286062,55943,59907
2022,9,43675,60605,68361,51632,295478,57367,61879
2022,10,42572,64798,68264,49187,298300,56782,62470
2022,11,42543,65261,68748,53790,301117,58256,63060
2022,12,43235,64828,63072,54511,422443,57819,88468
2023,1,42599,64878,59981,55354,302072,57340,63260
2023,2,41821,64655,66443,57665,310830,55077,65094
2023,3,46303,66577,67975,58604,340626,56201,71334
2023,4,48022,62162,68699,56030,340006,57391,71204
2023,5,46894,68376,67923,51950,347870,59340,72851
2023,6,48169,72319,148931,48529,365791,63272,76604
2023,7,44616,72911,149857,56008,341032,65944,71419
2023,8,46418,74330,57710,59490,331578,68787,69439
2023,9,52237,81084,64809,61705,338659,70651,70922
2023,10,55677,81888,119812,63433,352545,72156,73830
2023,11,50459,76548,132605,61620,350411,71829,73383
2023,12,51203,77748,67137,63502,495726,73607,103815
2024,1,51164,83264,79697,65250,358294,69710,75034
2024,2,53255,83786,83023,63115,374520,68648,78432
2024,3,55460,80341,81227,64900,418967,68377,87740
2024,4,55576,81785,76286,65830,418967,70229,87740
2024,5,56274,82843,82051,65497,418967,71589,87740
